,hour,total_count,is_holiday_0,is_holiday_1,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
102,11,46,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,12,79,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,13,71,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,14,62,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,15,62,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,16,89,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,17,190,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,18,169,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,19,132,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,20,89,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,21,43,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,22,42,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,23,19,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,0,11,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,1,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,5,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,6,36,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,7,95,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,8,219,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,9,122,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,10,45,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,11,59,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,12,84,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,13,67,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,14,70,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,15,62,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,16,86,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,17,172,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132,18,163,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,19,112,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,20,69,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,21,48,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,22,52,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,23,23,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,0,17,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
139,1,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
140,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
141,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
142,5,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
143,6,34,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
144,7,84,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
145,8,210,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
146,9,134,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
147,10,63,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
148,11,67,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
149,12,59,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
150,13,73,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
151,14,50,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
152,15,72,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
153,16,87,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
154,17,187,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
155,18,123,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
156,19,95,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
157,20,51,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
158,21,39,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
159,22,36,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
160,23,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
161,0,25,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
162,1,16,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
163,2,16,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
164,3,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
165,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
166,5,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
167,6,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
168,7,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
169,8,15,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
170,9,20,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
171,10,61,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
172,11,62,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
173,12,98,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
174,13,102,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
175,14,95,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
176,15,74,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
177,16,76,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
178,17,69,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
179,18,55,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
180,19,30,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
181,20,28,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
182,21,37,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
183,22,34,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
184,23,22,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
185,0,25,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,1,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,2,11,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,3,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
192,7,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,8,10,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,9,19,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,10,49,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,11,49,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,12,83,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,13,75,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
199,14,72,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,15,82,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,16,92,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,17,62,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
203,18,48,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,19,41,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,20,38,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,21,20,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,22,15,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,23,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,0,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
214,5,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,6,31,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,7,77,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,8,188,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218,9,94,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,10,31,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,11,30,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,12,52,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
222,13,54,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,14,47,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
224,15,45,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,16,74,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
226,17,178,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
227,18,155,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228,19,95,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
229,20,74,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230,21,38,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231,22,24,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232,23,18,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
233,0,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
234,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
236,5,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237,6,27,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
238,7,99,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,8,217,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,9,130,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,10,54,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,11,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,12,57,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,13,52,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
245,14,63,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
246,15,47,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,16,76,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
248,17,136,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,18,95,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,19,51,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
251,20,32,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
252,21,20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
253,22,29,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,23,19,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,0,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,1,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,5,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,6,16,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,7,54,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
261,8,128,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
262,9,81,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
263,10,39,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
264,11,35,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
265,12,55,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
266,13,49,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
267,14,44,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
268,15,49,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
269,16,68,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
270,17,139,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
271,18,137,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
272,19,83,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
273,20,56,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
274,21,57,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
275,22,33,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
276,23,20,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
277,0,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
278,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
279,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
280,3,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
281,4,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
282,5,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
283,6,28,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
284,7,72,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
285,8,202,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
